BDU,VEDAS
BDU:2025-11143,0.0758459
BDU:2025-11142,0.0457818
BDU:2025-11141,0.0457818
BDU:2025-11140,0.2070612
BDU:2025-11139,0.0457818
BDU:2025-11138,0.0758459
BDU:2025-11137,0.0392096
BDU:2025-11136,0.0392096
BDU:2025-11135,0.8046436
BDU:2025-11134,0.0711699
BDU:2025-11133,0.7077584
BDU:2025-11129,0.0741514
BDU:2025-11128,0.5328833
BDU:2025-11127,0.5328833
BDU:2025-11126,0.5328833
BDU:2025-11125,0.5328833
BDU:2025-11124,0.071016
BDU:2025-11123,0.0556249
BDU:2025-11122,0.0710406
BDU:2025-11121,0.0710406
BDU:2025-11120,0.0710406
BDU:2025-11119,0.0710406
BDU:2025-11118,0.0710098
BDU:2025-11116,0.4526518
BDU:2025-11115,0.3742407
BDU:2025-11114,0.1398319
BDU:2025-11113,0.0474256
BDU:2025-11112,0.4521952
BDU:2025-11111,0.4522155
BDU:2025-11110,0.4521952
BDU:2025-11109,0.1968836
BDU:2025-11108,0.2105083
BDU:2025-11107,0.6587298
BDU:2025-11106,0.196479
BDU:2025-11105,0.1964253
BDU:2025-11104,0.1964405
BDU:2025-11103,0.196477
BDU:2025-11102,0.0710222
BDU:2025-11101,0.0542398
BDU:2025-11100,0.0709944
BDU:2025-11099,0.051992
BDU:2025-11098,0.07137
BDU:2025-11097,0.210068
BDU:2025-11096,0.2101186
BDU:2025-11095,0.0710406
BDU:2025-11094,0.0711761
BDU:2025-11093,0.5758914
BDU:2025-11092,0.071133
BDU:2025-11091,0.0710098
BDU:2025-11090,0.2276352
BDU:2025-11089,0.0595972
BDU:2025-11088,0.622493
BDU:2025-11087,0.052353
BDU:2025-11086,0.0647571
BDU:2025-11085,0.0500977
BDU:2025-11084,0.0500662
BDU:2025-11083,0.0494605
BDU:2025-11082,0.4376626
BDU:2025-11081,0.5140225
BDU:2025-11080,0.2130882
BDU:2025-11079,0.2551168
BDU:2025-11078,0.2556563
BDU:2025-11077,0.3746426
BDU:2025-11076,0.4348874
BDU:2025-11075,0.434771
BDU:2025-11074,0.4349022
BDU:2025-11073,0.3723343
BDU:2025-11072,0.3746456
BDU:2025-11071,0.2703098
BDU:2025-11070,0.2703098
BDU:2025-11069,0.2703098
BDU:2025-11068,0.6718842
